"RA","Rodrigo de Araya","18","58","107","283","364","349","280","218","198","212","190","219","212","198","198","254","232","223","196","266","316","245","340","521","905","1151","1006","696","390","370","258","329","392","296","76","17","1"
"RM","Rojas Magallanes","27","98","218","338","390","394","307","231","185","178","146","126","100","102","117","157","150","133","112","122","98","157","150","140","164","214","188","166","133","118","107","113","92","80","53","14","1"
"RO","Rondizonni","48","246","438","887","913","865","749","576","536","521","492","497","484","527","529","611","518","399","351","535","391","455","555","587","698","1107","1085","664","443","394","287","330","246","290","274","30","0"
"SA","Salvador","8","77","133","309","724","1107","1159","876","784","690","734","793","839","909","1082","1243","1117","1014","911","1022","1000","1086","1108","1298","1176","1485","1369","1200","981","1121","917","796","668","899","593","54","0"
"AH","San Alberto Hurtado","97","507","944","1342","1591","1757","1247","996","778","620","527","482","415","364","374","429","416","327","344","319","315","301","346","364","454","682","804","575","407","309","276","237","200","165","108","21","0"
"SJ","San Joaquin","12","65","124","372","423","476","339","217","251","345","282","371","627","461","698","1041","701","622","541","750","1034","707","778","1277","1119","1329","1399","848","624","781","709","539","529","459","494","42","1"
"JE","San Jose de la Estrella","45","257","582","953","1085","1051","671","483","315","266","223","204","164","159","176","210","177","168","134","149","135","207","155","163","200","234","199","168","136","122","101","92","78","67","51","9","1"
"SM","San Miguel","17","59","172","411","629","580","406","305","282","271","273","286","320","341","302","498","599","442","400","559","428","486","547","612","634","797","674","463","345","394","255","247","272","283","125","24","0"
"SP","San Pablo","307","972","1836","3157","3407","3204","1919","1420","1103","869","711","640","544","514","535","660","689","490","468","462","418","461","449","519","620","796","767","525","392","332","286","282","238","187","117","28","1"
"RN","San Ramon","70","258","444","651","706","586","320","249","182","141","125","108","95","83","74","103","86","85","64","70","69","71","70","87","129","124","109","98","73","60","58","57","39","31","21","7","0"
"AN","Santa Ana","93","480","1068","2214","3210","3138","2333","1897","1608","1208","1128","1052","1069","1033","1178","1525","1826","1707","1228","1165","1137","1277","1374","1725","2351","3776","3964","3508","2711","2577","1732","1495","1639","1464","993","284","0"
"SI","Santa Isabel","8","58","151","419","635","715","558","424","374","270","257","260","252","297","271","330","449","366","382","313","347","682","517","451","595","885","965","881","679","479","335","301","295","363","210","56","1"
"JU","Santa Julia","61","247","366","540","570","462","295","209","152","123","105","83","82","65","70","75","69","64","59","60","51","57","56","74","102","97","86","70","68","68","60","57","38","33","25","8","1"
"SL","Santa Lucia","98","346","644","1054","1567","2001","1690","1179","1019","866","846","896","980","938","1028","1228","1176","1164","1061","1080","1152","1111","1278","1435","1557","2242","2559","2086","1453","1346","1047","814","794","682","358","124","2"
"SR","Santa Rosa","250","930","1568","2122","2241","2129","1229","954","692","490","448","420","334","324","379","428","362","343","296","286","266","278","336","431","564","662","541","381","293","274","210","197","154","125","71","19","3"
"BU","Santiago Bueras","33","176","291","602","706","619","338","287","206","170","165","145","123","120","153","174","150","138","133","122","135","132","138","147","179","193","185","149","124","116","106","104","101","106","61","4","0"
